Latitude,longitude,tree_dbh,status,health,spc_common,boroname
40.77984411,-73.98261058,3,Alive,Poor,pin oak,Manhattan
40.76928414,-73.9821215,10,Alive,Good,pin oak,Manhattan
40.720222390000004,-73.98989324,5,Alive,Good,pin oak,Manhattan
40.78185638,-73.97541118,3,Alive,Good,pin oak,Manhattan
40.78175874,-73.97544308,22,Alive,Good,London planetree,Manhattan
40.71588144,-73.99204077,13,Alive,Good,London planetree,Manhattan
40.78218441,-73.97517231,33,Alive,Good,American elm,Manhattan
40.78215257,-73.97515628,20,Alive,Good,London planetree,Manhattan
40.77176247,-73.95948624,7,Alive,Good,littleleaf linden,Manhattan
40.78792705,-73.94218177,8,Alive,Fair,honeylocust,Manhattan
40.7591032,-73.96062422,7,Alive,Good,honeylocust,Manhattan
40.78223042,-73.97250656,23,Alive,Good,London planetree,Manhattan
40.78265566,-73.97351346,15,Alive,Good,London planetree,Manhattan
40.78777343,-73.94181856,8,Alive,Fair,honeylocust,Manhattan
40.78607747,-73.96924856,2,Alive,Good,honeylocust,Manhattan
40.76693128,-73.98564287,5,Alive,Good,honeylocust,Manhattan
40.77317474,-73.95824842,10,Alive,Poor,London planetree,Manhattan
40.77008557,-73.98281168,2,Alive,Good,American elm,Manhattan
40.78102152,-73.97597993,22,Alive,Good,London planetree,Manhattan
40.79169394,-73.97674408,13,Alive,Good,honeylocust,Manhattan
40.79884647,-73.97071407,9,Alive,Poor,ginkgo,Manhattan
40.7877398,-73.94173904,8,Alive,Good,honeylocust,Manhattan
40.7111795,-74.00082558,9,Alive,Good,honeylocust,Manhattan
40.72345123,-73.98530834,6,Alive,Good,black cherry,Manhattan
40.74464396,-73.9816046,4,Alive,Fair,Japanese zelkova,Manhattan
40.77720259,-73.98055895,11,Alive,Good,black oak,Manhattan
40.71270506,-73.99758497,3,Dead,NA,NA,Manhattan
40.77003707,-73.98269638,7,Alive,Good,honeylocust,Manhattan
40.77127806,-73.9472951,11,Alive,Good,honeylocust,Manhattan
40.76684476,-73.98543765,9,Alive,Good,honeylocust,Manhattan
40.73690405,-73.99975421,9,Alive,Good,Sophora,Manhattan
40.74414068,-73.9801313,10,Alive,Fair,pin oak,Manhattan
40.7515513,-73.99175365,4,Alive,Fair,Callery pear,Manhattan
40.76450515,-73.95988798,11,Alive,Good,Callery pear,Manhattan
40.80017463,-73.94728297,6,Alive,Fair,London planetree,Manhattan
40.78693122,-73.96932152,14,Alive,Good,littleleaf linden,Manhattan
40.77222078,-73.94846833,12,Alive,Good,littleleaf linden,Manhattan
40.74899564,-73.97771193,13,Alive,Good,American elm,Manhattan
40.78110556,-73.97591872,16,Alive,Good,London planetree,Manhattan
40.80038764,-73.94778833,3,Alive,Good,London planetree,Manhattan
40.7880541,-73.94248217,7,Alive,Good,honeylocust,Manhattan
40.78793128,-73.94804647,7,Alive,Fair,American linden,Manhattan
40.78633081,-73.96985158,14,Alive,Good,honeylocust,Manhattan
40.76624286,-73.98400999,5,Alive,Good,honeylocust,Manhattan
40.8088019,-73.95822529,4,Alive,Good,honeylocust,Manhattan
40.78145103,-73.97570637,6,Alive,Good,ginkgo,Manhattan
40.80225255,-73.95343952,3,Alive,Good,American linden,Manhattan
